authors,likes,quotes,tags
"Paulo Coelho,",14234,“It's the possibility of having a dream come true that makes life interesting.”,['inspirational']
Bob Marley,14101,"“He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”","['inspirational', 'love']"
"Henri Nouwen,",13486,"“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”","['empathy', 'friends', 'friendship', 'inspirational']"
"Nicholas Sparks,",13281,"“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”","['inspirational', 'the-notebook']"
"Laurel Thatcher Ulrich,",12225,“Well-behaved women seldom make history.”,"['inspirational', 'misattributed-eleanor-roosevelt', 'women']"
Mahatma Gandhi,11295,"“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”","['despair', 'evil', 'goodness', 'inspirational', 'love', 'sadness', 'truth', 'victory']"
Audrey Hepburn,11270,"“Nothing is impossible, the word itself says 'I'm possible'!”","['attributed-no-source', 'inspirational']"
"F. Scott Fitzgerald,",10988,"“So we beat on, boats against the current, borne back ceaselessly into the past.”","['book', 'inspirational']"
Herbert Bayard Swope,10927,"“I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”","['failure', 'inspirational', 'misattributed-bill-cosby', 'success']"
Eleanor Roosevelt,10892,“Do what you feel in your heart to be right – for you’ll be criticized anyway.”,['inspirational']
