authors,likes,quotes,tags
Walt Disney Company,155,“I only hope that we never lose sight of one thing — that it was all started by a mouse.”,['inspirational']
"Tudor Chirilă,",153,"“In definitiv, cu cat vei ridica un zid mai inalt in jurul tau cu atat va fi mai bun cel care-l va sari.”","['inspirational', 'love']"
Ayn Rand,151,"“In the name of the best within you, do not sacrifice this world to those who are at its worst. In the name of the values that keep you alive, do not let your vision of people be distorted by the ugly, the cowardly, the mindless in those who have never achieved integrity. Do not lose your knowledge that our proper estate is an upright posture,an intransigent mind and a step that travels unlimited roads. Do not let your fire go out, spark by irreplaceable spark, in the hopeless swamps of the approximate, the not-quite, the not-yet, the not-at-all. Do not let the hero in your soul perish, in lonely frustration for the life you deserved, but have never been able to reach. Check your road and the nature of your battle. The world you desired can be won, it exists, it is real, it's yours.”",['inspirational']
Gerard Way,150,"“The difference we wanna make is number one to let these kids know that they’re not alone, that they’re actually not that messed up and that they can do whatever they want; they can express themselves however they want, without being persecuted or called a faggot or some kind of racist thing. You know, really just to get people to get over their stuff so they can live.”",['inspirational']
Demi Lovato,147,"“As the smoke clears,I awaken,And untangle you from me.Would it make you feel betterTo watch me, while I bleed?All my windows still are broken,But I'm standing on my feet.”","['demi-lovato', 'inspirational', 'lyrics', 'skyscraper']"
"Jack Kerouac,",390,“But why think about that when all the golden lands ahead of you and all kinds of unforseen events wait lurking to surprise you and make you glad you're alive to see?”,['inspirational']
"Pablo Neruda,",345,"“I want you to knowone thing. You know how this is: if I look at the crystal moon, at the red branch of the slow autumn at my window, if I touch near the fire the impalpable ash or the wrinkled body of the log, everything carries me to you, as if everything that exists, aromas, light, metals, were little boats that sail toward those isles of yours that wait for me. Well, now, if little by little you stop loving me I shall stop loving you little by little. If suddenly you forget me do not look for me, for I shall already have forgotten you. If you think it long and mad, the wind of banners that passes through my life, and you decide to leave me at the shore of the heart where I have roots, remember that on that day, at that hour, I shall lift my arms and my roots will set off to seek another land. But if each day, each hour, you feel that you are destined for me with implacable sweetness, if each day a flower climbs up to your lips to seek me, ah my love, ah my own, in me all that fire is repeated, in me nothing is extinguished or forgotten, my love feeds on your love, beloved, and as long as you live it will be in your arms without leaving mine.”","['inspirational', 'love', 'poetry']"
"J.R.R. Tolkien,",343,"“There, peeping among the cloud-wrack above a dark tor high up in the mountains, Sam saw a white star twinkle for a while. The beauty of it smote his heart, as he looked up out of the forsaken land, and hope returned to him. For like a shaft, clear and cold, the thought pierced him that in the end the Shadow was only a small and passing thing: there was light and high beauty for ever beyond its reach.”","['inspirational', 'lord-of-the-rings', 'middle-earth', 'sam-gamgee', 'tolkien']"
"A.G. Howard,",274,“Tearing down the rest of the world won't make you happy. Look inside yourself. Because finding who you were meant to be? What you were put into this world to do? That's what fills the emptiness. It's the only things that can.”,"['alyssa', 'inspirational', 'splintered']"
Thomas S. Monson,272,"“Our opportunities to give of ourselves are indeed limitless, but they are also perishable. There are hearts to gladden. There are kind words to say. There are gifts to be given. There are deeds to be done. There are souls to be saved.As we remember that “when ye are in the service of your fellow beings ye are only in the service of your God,” (Mosiah 2:17) we will not find ourselves in the unenviable position of Jacob Marley’s ghost, who spoke to Ebenezer Scrooge in Charles Dickens’s immortal ""Christmas Carol."" Marley spoke sadly of opportunities lost. Said he: 'Not to know that any Christian spirit working kindly in its little sphere, whatever it may be, will find its mortal life too short for its vast means of usefulness. Not to know that no space of regret can make amends for one life’s opportunity misused! Yet such was I! Oh! such was I!'Marley added: 'Why did I walk through crowds of fellow-beings with my eyes turned down, and never raise them to that blessed Star which led the Wise Men to a poor abode? Were there no poor homes to which its light would have conducted me!'Fortunately, as we know, Ebenezer Scrooge changed his life for the better. I love his line, 'I am not the man I was.'Why is Dickens’ ""Christmas Carol"" so popular? Why is it ever new? I personally feel it is inspired of God. It brings out the best within human nature. It gives hope. It motivates change. We can turn from the paths which would lead us down and, with a song in our hearts, follow a star and walk toward the light. We can quicken our step, bolster our courage, and bask in the sunlight of truth. We can hear more clearly the laughter of little children. We can dry the tear of the weeping. We can comfort the dying by sharing the promise of eternal life. If we lift one weary hand which hangs down, if we bring peace to one struggling soul, if we give as did the Master, we can—by showing the way—become a guiding star for some lost mariner.”","['inspirational', 'lds', 'way-to-be']"
Junot Diaz,253,"“In order to write the book you want to write, in the end you have to become the person you need to become to write that book.”","['inspirational', 'writers', 'writers-on-writing', 'writing']"
Patrick Rothfuss,234,"“No man is brave that has never walked a hundred miles. If you want to know the truth of who you are, walk until not a person knows your name. Travel is the great leveler, the great teacher, bitter as medicine, crueler than mirror-glass. A long stretch of road will teach you more about yourself than a hundred years of quiet.”","['inspirational', 'travel']"
Gordon B. Hinckley,215,“Gratitude is a sign of maturity...Where there is appreciation: there is also courtesy and concern for the rights and property of others.”,['inspirational']
"John Stuart Mill,",214,"“War is an ugly thing, but not the ugliest of things: the decayed and degraded state of moral and patriotic feeling which thinks that nothing is worth a war, is much worse. When a people are used as mere human instruments for firing cannon or thrusting bayonets, in the service and for the selfish purposes of a master, such war degrades a people. A war to protect other human beings against tyrannical injustice; a war to give victory to their own ideas of right and good, and which is their own war, carried on for an honest purpose by their free choice, — is often the means of their regeneration. A man who has nothing which he is willing to fight for, nothing which he cares more about than he does about his personal safety, is a miserable creature who has no chance of being free, unless made and kept so by the exertions of better men than himself. As long as justice and injustice have not terminated their ever-renewing fight for ascendancy in the affairs of mankind, human beings must be willing, when need is, to do battle for the one against the other.”","['ethics', 'fight', 'foreign-policy', 'injustice', 'inspirational', 'justice', 'morality', 'motivational', 'patriotic', 'safety', 'selfish', 'tyranny', 'war', 'will']"
Norman Vincent Peale,204,"“What the mind can conceive and believe, and the heart desire, you can achieve.”","['achievement', 'aims', 'belief', 'desires', 'goals', 'inspirational', 'motivational', 'self-confidence', 'self-trust']"
"Tasaro,",196,"“...mencintai itu, kadang mengumpulkan segala tabiat menyebalkan dari seseorang yang engkau cintai, memakinya, merasa tak sanggup lagi menjadi yang terbaik untuk dirinya, dan berpikir tak ada lagi jalan kembali, tapi tetap saja engkau tak sanggup benar-benar meninggalkannya.”","['inspirational', 'love']"
"Alice Sebold,",193,"“Heaven is comfort, but it's still not living.”","['family', 'haunting', 'imaginative', 'inspirational', 'murder', 'personal-growth', 'rape']"
C.S. Lewis,192,“We are what we believe we are!”,"['amazing', 'bright', 'inspirational', 'truth']"
C. JoyBell C.,191,"“Maybe we shouldn't be looking for love. Maybe we should be looking for a person. Because maybe you can find love in a person, but not have that person. So if you look for love, what you will find is love. But if you want to belong to someone, and you want someone to belong to you, you should look for a person.”","['inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-love-quotes', 'inspirational-quotes', 'learning', 'learning-the-truth', 'learnings', 'looking-for-love', 'love', 'people', 'person']"
"Neil Strauss,",181,"“In life, people tend to wait for good things to come to them. And by waiting, they miss out. Usually, what you wish for doesn't fall in your lap; it falls somewhere nearby, and you have to recognize it, stand up, and put in the time and work it takes to get to it. This isn't because the universe is cruel. It's because the universe is smart. It has its own cat-string theory and knows we don't appreciate things that fall into our laps.”","['inspirational', 'seduction']"
Suzanne Collins,181,“Having an eye for beauty isn't the same thing as a weakness...except possibly when it comes to you.”,"['beauty', 'inspirational', 'love']"
Muhammad Ali,175,“You lose nothing when fighting for a cause ... In my mind the losers are those who don't have a cause they care about.”,['inspirational']
Patti Smith,175,“Freedom is...the right to write the wrong words.”,"['freedom', 'inspirational', 'words']"
"Robert T. Kiyosaki,",172,“You’re only poor if you give up. The most important thing is that you did something. Most people only talk and dream of getting rich. You’ve done something.”,['inspirational']
St. Francis of Assisi,170,"“We have been called to heal wounds, to unite what has fallen apart, and to bring home those who have lost their way.”","['inspirational', 'motivational']"
"Leo Tolstoy,",170,"“Life did not stop, and one had to live.”","['inspirational', 'life']"
Frances Willard,168,"“The world is wide, and I will not waste my life in friction when it could be turned into momentum. ”","['inspirational', 'life']"
Justin Bieber,164,"“I wrote the song 'Down to Earth' a few years ago, and i was really excited to record it for My World album. It's a huge fan favourite. So many people feel where i'm coming from. It doesn't need any spectacular stage effects in the touring show; the best thing i can do is just sing it straight from my heart. I'm not afraid to show my emotions; if you love someone, you should tell them. If you think a girl is beautiful, you should say that. Usher says some songs work best when there's a sob in the singer's voice. You gotta let that deep feeling come through. And that's how i felt about this song. Sometimes the emotion of it is enough to bring tears to my eyes.”","['amazing', 'cute', 'inspirational']"
robert m drake,164,“We swallowed the chaos because we knew we didn't want to be ordinary.”,"['happyquotes', 'hope', 'inspirational', 'inspirationalquotes', 'inspired', 'instadaily', 'instaquote', 'lovequotes', 'pinquotes', 'poems', 'poetry', 'quote', 'quoteoftheday', 'quotes', 'relationships', 'rmdrake', 'sadquotes', 'sayings', 'spokenword', 'tattoo', 'typewriter', 'vsco', 'writer', 'writing']"
"James Patterson,",159,“But what is life if you don't live it?”,"['inspirational', 'life']"
"Jon Krakauer,",158,"“I understood what he was doing, that he had spent four years fulfilling the absurd and tedious duty of graduating from college and now he was emancipated from that world of abstraction, false security, parents, and material excess.”",['inspirational']
Neale Donald Walsch,158,"“Do not waste the precious moments of this, your present reality, seeking to unveil all of life's secrets. Those secrets are a secret for a reason. Grant your God the benefit of the doubt. Use your NOW moment for the Highest Purpose- the creation and the expression of WHO YOU REALLY ARE. Decide who you are- who you want to be-and then do everything in your power to be that.It is not nearly so important how well a message is received as how well it is sent. You cannot take responsibility for how well another accepts your truth; you can only ensure how well it is communicated. And by how well, I don't mean merely how clearly; I mean how lovingly, how compassionately, how sensitively, how courageously, and how completely.If you think your life is about DOINGNESS, you do not understand what you are about. Your soul doesn't care what you do for a living-and when your life is over, neither will you. Your soul cares only about what you're BEING while you're doing whatever you're doing. It is a state of BEINGNESS the soul is after, not a state of doingness.”",['inspirational']
"مكاوي سعيد,",150,“وابتعدت.. دون أن أفسـّر حتى لنفسى أسباب هذا الهروب !”,['inspirational']
"Pittacus Lore,",147,“My experiences have taught me that things rarely improve with a simple change of scenery.”,"['hector-ricardo', 'inspirational']"
Rick Riordan,147,"“Sometimes small things can become very large, indeed.”",['inspirational']
"Hugo Hamilton,",239,"“Maybe your country is only a place you make up in your own mind. Something you dream about and sing about. Maybe it's not a place on the map at all, but just a story full of people you meet and places you visit, full of books and films you've been to. I'm not afraid of being homesick and having no language to live in. I don't have to be like anyone else. I'm walking on the wall and nobody can stop me.”","['anchoring', 'attachment', 'belonging', 'country', 'empowerment', 'home', 'homelessness', 'independence', 'individuality', 'inspirational', 'nationality', 'roots', 'self-assurance', 'self-awareness', 'self-containment', 'self-determination', 'self-esteem', 'self-reliance', 'self-respect', 'self-sufficiency', 'self-trust']"
"Clarissa Pinkola Estés,",217,"“Go out in the woods, go out. If you don't go out in the woods nothing will ever happen and your life will never begin.”","['beginnings', 'initiation', 'inspirational']"
"Patrick Rothfuss,",213,"“It’s not over if you’re still here,” Chronicler said. “It’s not a tragedy if you’re still alive.”","['hope', 'inspirational', 'tragedy']"
"Mitch Albom,",210,“Forgive yourself before you die. Then forgive others.”,['inspirational']
Ronald Reagan,194,"“Status quo, you know, is Latin for 'the mess we're in'.”","['inspirational', 'latin', 'politics']"
Will Smith,182,"“Don't chase people. Be yourself, do your own thing and work hard. The right people - the ones who really belong in your life - will come to your. And stay.”","['inspirational', 'motivational', 'peaceful']"
"Robert Jordan,",182,"“One more dance along the razor's edge finished. Almost dead yesterday, maybe dead tomorrow, but alive, gloriously alive, today.”","['inspirational', 'lord-of-chaos', 'military', 'military-quote', 'one-more-dance', 'robert-jordan']"
"Gilles Deleuze,",178,“Bring something incomprehensible into the world!”,"['art', 'individuality', 'inspirational', 'life', 'new', 'otherness']"
Khalil Gibran,175,"“Work is love made visible. And if you can't work with love, but only with distaste, it is better that you should leave your work and sit at the gate of the temple and take alms of the people who work with joy”",['inspirational']
Annie Dillard,173,"“Spend the afternoon, you can't take it with you.”","['inspirational', 'life']"
Ben Carson,166,“God has given us more than fourteen billion cells and connections in our brain. Why would God give us such a complex organ system unless he expects us to use it?”,['inspirational']
robert m drake,164,“The best kind of humans are the ones who stay.”,"['happyquotes', 'hope', 'inspirational', 'inspirationalquotes', 'inspired', 'instadaily', 'instaquote', 'lovequotes', 'pinquotes', 'poems', 'poetry', 'quote', 'quoteoftheday', 'quotes', 'relationships', 'rmdrake', 'sadquotes', 'sayings', 'spokenword', 'tattoo', 'typewriter', 'vsco', 'writer', 'writing']"
"Max Ehrmann,",163,"“Avoid loud and aggressive persons,they are vexations to the spirit.”","['inspirational', 'philosophical']"
Vincent van Gogh,162,“Only when I fall do I get up again.”,['inspirational']
Douglas Adams,161,"“Can't stand all these poisonous creatures, all these snakes and insects and fish and things. Wretched things, biting everybody. And then people expect me to tell them what to do about it. I'll tell them what to do. Don't get bitten in the first place. (quoting Dr. Struan Sutherland)”","['humor', 'inspirational']"
Lewis Carroll,161,"“IN THE END… We only regret the chances we didn’t take, the relationships we were afraid to have,and the decisions we waited too long to make.”",['inspirational']
H. L. Mencken,160,"“You can't do anything about the length of your life, but you can do something about its width and depth.”","['inspirational', 'life']"
Aristotle,160,“Where your talents and the needs of the world cross; there lies your vocation.”,['inspirational']
Thomas Wolfe,153,“You can't go home again”,"['home', 'inspirational', 'leaving', 'loss', 'return']"
George S. Patton Jr.,152,“Pressure makes diamonds”,"['inspirational', 'pressure']"
"J.K. Rowling,",151,"“Where your treasure is, there will your heart be also”",['inspirational']
"Miyamoto Musashi,",149,"“The primary thing when you take a sword in your hands is your intention to cut the enemy, whatever the means. Whenever you parry, hit, spring, strike or touch the enemy's cutting sword, you must cut the enemy in the same movement. It is essential to attain this. If you think only of hitting, springing, striking or touching the enemy, you will not be able actually to cut him.”","['inspirational', 'martial-arts', 'philosophy', 'strategy']"
George Bernard Shaw,148,"“Life is no brief candle to me. It is a sort of splendid torch which I have got a hold of for the moment, and I want to make it burn as brightly as possible before handing it on to future generations.”","['inspirational', 'life']"
"H. Jackson Brown Jr.,",147,“Never give up on what you really want to do. The person with big dreams is more powerful than one with all the facts.”,"['inspirational', 'life']"
Albert Einstein,144,“Great spirits have always encountered opposition from mediocre minds. The mediocre mind is incapable of understanding the man who refuses to bow blindly to conventional prejudices and chooses instead to express his opinions courageously and honestly.”,"['inspirational', 'opposition', 'wisdom']"
Colette,144,“What a wonderful life I’ve had! I only wish I’d realized it sooner.”,['inspirational']
Juan Ramón Jiménez,144,"“If they give you ruled paper, write the other way.”",['inspirational']
"Cassandra Clare,",144,"“Sometimes it comes down to a choice,"" Magnus said. ""Between saving one person and saving the whole world. I've seen it happen, and I'm selfish enough to want the person who loves me to choose me. But Nephilim wil always choose the world. I look at Alec and I feel like Lucifer in Paradise Lost. 'Abashed the Devil stood, And felt how awful goodness is.' He meant it in the classical sense. 'Awful' as in inspiring awe. And awe is well and good, but it's poison to love. Love has to be between equals.""""He's just a boy,"" said Luke. ""Alec--he's not perfect. And you're not fallen."" ""We're all fallen,"" said Magnus, and he wrapped himself up in his chains and was silent.”","['inspirational', 'love', 'malec']"
Swami Vivekananda,143,"“They alone live, who live for others.”",['inspirational']
"Steve Maraboli,",142,"“Love has no limitations. It cannot be measured. It has no boundaries. Although many have tried, love is indefinable.”","['inspirational', 'love', 'relationships']"
Brian Cox,242,“We are the cosmos made conscious and life is the means by which the universe understands itself.”,"['consciousness', 'cosmos', 'inspirational', 'life', 'universe']"
Walter Bagehot,232,“The greatest pleasure in life is doing what people say you cannot do.”,['inspirational']
Voltaire,216,“Perfect is the enemy of good.”,"['inspirational', 'misattributed-to-jim-collins', 'work-ethic']"
Shannon L. Alder,216,"“Beauty is not who you are on the outside, it is the wisdom and time you gave away to save another struggling soul like you.”","['activist', 'aging', 'beautiful-personatlity', 'beautiful-soul', 'charity', 'communicators', 'community', 'compassion', 'empathetic', 'fathers', 'friendships', 'givers', 'giving-heart', 'helping-out', 'homeless-tent-community', 'inner-beauty', 'inspiration', 'inspirational', 'jealousy', 'judgement', 'loving', 'marine-life-conservation', 'medical-missions', 'mothers', 'motivators', 'openess', 'outward-beauty', 'people-of-action', 'perspectives', 'philosophy', 'prayer', 'real-people', 'reflection', 'rescuers', 'search-and-rescue', 'service', 'takers', 'tender', 'time', 'true-beauty', 'truth', 'vanity', 'writing']"
Tom Hiddleston,205,"“I gave myself permission to care, because there are a lot of people in this world who are afraid of caring, who are afraid of showing they care because it’s uncool. It’s uncool to have passion. It’s so much easier to lose when you’ve shown everyone how much you don’t care if you win or lose. It’s much harder to lose when you show that you care, but you’ll never win unless you also stand to lose. I’ve said it before. Don’t be afraid of your passion, give it free reign, and be honest and work hard and it will all turn out just fine.”","['inspirational', 'it-will-all-turn-out', 'passion']"
"Nora Roberts,",197,"“know what you want, work to get it, then value it once you have it.”","['goals', 'inspirational', 'proactivity']"
Virgil,190,"“Death twitches my ear;'Live,' he says... 'I'm coming.”","['carpe-diem', 'creepy', 'death', 'death-and-dying', 'inspirational', 'living', 'philosophical', 'philosophy', 'seize-the-day']"
Jean Jacques Rousseau,186,“Every person has a right to risk their own life for the preservation of it.”,"['inspirational', 'wisdom']"
Vance Havner,179,"“God uses broken things. It takes broken soil to produce a crop, broken clouds to give rain, broken grain to give bread, broken bread to give strength. It is the broken alabaster box that gives forth perfume. It is Peter, weeping bitterly, who returns to greater power than ever.”","['brokenness', 'inspirational', 'renewal', 'suffering']"
أنيس منصور,178,“الإنسان يجب أن يدق الباب .. فسوف يجد أحداً يفتح .. عن رغبة أو رهبة أو ضيق .. ولكن لابد أن ينفتح الباب .. ومن وراءه باب ثاني وثالث”,"['courage', 'inspirational', 'life']"
"Amit Ray,",176,“You are a cosmic flower. Om chanting is the process of opening the psychic petals of that flower.”,"['aum', 'cosmic', 'cosmic-consciousness', 'cosmic-energy', 'human-flourishing', 'inspirational', 'mantra', 'meditation', 'om', 'om-chanting', 'om-meditation', 'om-yoga']"
Og Mandino,169,"“Count your blessings. Once you realize how valuable you are and how much you have going for you, the smiles will return, the sun will break out, the music will play, and you will finally be able to move forward the life that God intended for you with grace, strength, courage, and confidence.”","['inspirational', 'life']"
Helen Keller,168,"“I believe that God is in me as the sun is in the colour and fragrance of a flower - the Light in my darkness, the Voice in my silence.”",['inspirational']
C. JoyBell C.,167,"“Do not yearn to be popular; be exquisite. Do not desire to be famous; be loved. Do not take pride in being expected; be palpable, unmistakable.”","['fame', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'life-and-living', 'popularity', 'quotes-for-women', 'womens-inspirational']"
Darren E. Laws,155,“If you are still breathing maybe it is not such a bad day after all...”,['inspirational']
Jim Elliot,155,“Forgive me for being so ordinary while claiming to know so extraordinary a God.”,"['christian', 'christian-life', 'inspirational', 'religion']"
"محمد حسن علوان,",155,“قد أسعى لمحو أحزاني، و لكني لن اجرؤ على استبدالها بحزنِ مجهول، لن أقامر على طاولة الحياة،وحشة هذا الحزن المجهول أشد علىّ من من حزن قديم أليف. ”,['inspirational']
Moss Cass,154,"“We rich nations, for that is what we are, have an obligation not only to the poor nations, but to all the grandchildren of the world, rich and poor. We have not inherited this earth from our parents to do with it what we will. We have borrowed it from our children and we must be careful to use it in their interests as well as our own. Anyone who fails to recognise the basic validity of the proposition put in different ways by increasing numbers of writers, from Malthus to The Club of Rome, is either ignorant, a fool, or evil.”","['conservation', 'earth', 'environmentalism', 'inspirational', 'science']"
Khalil Gibran,151,"“Of life's two chief prizes, beauty and truth, I found the first in a loving heart and the second in a laborer's hand.”","['beauty', 'inspirational', 'truth']"
Earl Nightingale,150,"“How are you coming with your home library? Do you need some good ammunition on why it's so important to read? The last time I checked the statistics...I think they indicated that only four percent of the adults in this country have bought a book within the past year. That's dangerous. It's extremely important that we keep ourselves in the top five or six percent. 	In one of the Monthly Letters from the Royal Bank of Canada it was pointed out that reading good books is not something to be indulged in as a luxury. It is a necessity for anyone who intends to give his life and work a touch of quality. The most real wealth is not what we put into our piggy banks but what we develop in our heads. Books instruct us without anger, threats and harsh discipline. They do not sneer at our ignorance or grumble at our mistakes. They ask only that we spend some time in the company of greatness so that we may absorb some of its attributes.You do not read a book for the book's sake, but for your own.You may read because in your high-pressure life, studded with problems and emergencies, you need periods of relief and yet recognize that peace of mind does not mean numbness of mind.You may read because you never had an opportunity to go to college, and books give you a chance to get something you missed. You may read because your job is routine, and books give you a feeling of depth in life.You may read because you did go to college.You may read because you see social, economic and philosophical problems which need solution, and you believe that the best thinking of all past ages may be useful in your age, too.You may read because you are tired of the shallowness of contemporary life, bored by the current conversational commonplaces, and wearied of shop talk and gossip about people.Whatever your dominant personal reason, you will find that reading gives knowledge, creative power, satisfaction and relaxation. It cultivates your mind by calling its faculties into exercise.Books are a source of pleasure - the purest and the most lasting. They enhance your sensation of the interestingness of life. Reading them is not a violent pleasure like the gross enjoyment of an uncultivated mind, but a subtle delight.Reading dispels prejudices which hem our minds within narrow spaces. One of the things that will surprise you as you read good books from all over the world and from all times of man is that human nature is much the same today as it has been ever since writing began to tell us about it.Some people act as if it were demeaning to their manhood to wish to be well-read but you can no more be a healthy person mentally without reading substantial books than you can be a vigorous person physically without eating solid food. Books should be chosen, not for their freedom from evil, but for their possession of good. Dr. Johnson said: ""Whilst you stand deliberating which book your son shall read first, another boy has read both.”",['inspirational']
"J.R.R. Tolkien,",146,"“Criticism - however valid or intellectually engaging - tends to get in the way of a writer who has anything personal to say. A tightrope walker may require practice, but if he starts a theory of equilibrium he will lose grace (and probably fall off).”",['inspirational']
"Richelle E. Goodrich,",146,"“Never give up. It's like breathing—once you quit, your flame dies letting total darkness extinguish every last gasp of hope. You can't do that. You must continue taking in even the shallowest of breaths, continue putting forth even the smallest of efforts to sustain your dreams. Don't ever, ever, ever give up.”","['ambition', 'desires', 'dreams', 'drive', 'effort', 'hope', 'inspirational', 'perserverance', 'richelle', 'richelle-goodrich', 'trying']"
"Scott Lynch,",145,“Quit being so hard on yourself. We are what we are; we love what we love. We don't need to justify it to anyone... not even to ourselves.”,"['inspirational', 'love', 'words-of-wisdom']"
G.K. Chesterton,144,“There is a road from the eye to the heart that does not go through the intellect.”,['inspirational']
"John Green,",144,“Imagine others complexly.”,"['inspiration', 'inspirational', 'life', 'philosophy', 'wisdom']"
"Virginia Woolf,",140,"“Therefore I would ask you to write all kinds of books, hesitating at no subject however trivial or however vast. By hook or by crook, I hope that you will possess yourselves of money enough to travel and to idle, to contemplate the future or the past of the world, to dream over books and loiter at street corners and let the line of thought dip deep into the stream.”","['inspirational', 'intellectual-freedom', 'women', 'writing']"
"Swami Vivekananda,",140,"“Arise, awake, stop not till the goal is reached.”","['activism', 'inspirational']"
"Santosh Kalwar,",140,“Every beginning has an end and every end is a new beginning.”,"['inspirational', 'truth']"
"Paulo Freire,",140,"“… Without a sense of identity, there can be no real struggle…”","['inspirational', 'political']"
"Laurell K. Hamilton,",137,“It is a very natural human trait to destroy that which frightens us.”,"['human', 'inspirational', 'life']"
Michael  Jackson,291,“When they say the sky's the limit to me that's really true”,"['confidence', 'dreaming', 'inspirational', 'musician', 'wisdom']"
"Richelle E. Goodrich,",247,"“Don't ever give up. Don't ever give in. Don't ever stop trying. Don't ever sell out. And if you find yourself succumbing to one of the above for a brief moment, pick yourself up, brush yourself off, whisper a prayer, and start where you left off.But never, ever, ever give up.”","['commitment', 'dedication', 'drive', 'eena', 'inspirational', 'perserverance', 'persistence', 'resolve', 'richelle', 'richelle-goodrich']"
Jeanette Winterson,241,"“They say that every snowflake is different. If that were true, how could the world go on? How could we ever get up off our knees? How could we ever recover from the wonder of it?”",['inspirational']
"Fred Rogers,",218,"“It's very dramatic when two people come together to work something out. It's easy to take a gun and annihilate your opposition, but what is really exciting to me is to see people with differing views come together and finally respect each other.”","['guns', 'inspirational', 'respect', 'working-together']"
"Criss Jami,",214,"“A young outcast will often feel that there is something wrong with himself, but as he gets older, grows more confident in who he is, he will adapt, he will begin to feel that there is something wrong with everyone else.”","['adaptation', 'anger', 'attitude', 'bullied', 'bully', 'bullying', 'confidence', 'confidence-and-attitude', 'encouragement', 'growth', 'inspirational', 'introvert', 'loneliness', 'motivational', 'outcast', 'pain', 'youth']"
Ramana Maharshi,206,“Your own Self-Realization is the greatest service you can render the world.”,"['awakening', 'awareness', 'enlightenment', 'giving', 'inspirational', 'know-thyself', 'self-realization', 'service', 'spiritual', 'wisdom-quotes']"
Virginia Satir,205,"“I am Me. In all the world, there is no one else exactly like me. Everything that comes out of me is authentically mine, because I alone chose it -- I own everything about me: my body, my feelings, my mouth, my voice, all my actions, whether they be to others or myself. I own my fantasies, my dreams, my hopes, my fears. I own my triumphs and successes, all my failures and mistakes. Because I own all of me, I can become intimately acquainted with me. By so doing, I can love me and be friendly with all my parts. I know there are aspects about myself that puzzle me, and other aspects that I do not know -- but as long as I am friendly and loving to myself, I can courageously and hopefully look for solutions to the puzzles and ways to find out more about me. However I look and sound, whatever I say and do, and whatever I think and feel at a given moment in time is authentically me. If later some parts of how I looked, sounded, thought, and felt turn out to be unfitting, I can discard that which is unfitting, keep the rest, and invent something new for that which I discarded. I can see, hear, feel, think, say, and do. I have the tools to survive, to be close to others, to be productive, and to make sense and order out of the world of people and things outside of me. I own me, and therefore, I can engineer me. I am me, and I am Okay.”","['inspirational', 'philosophy']"
"Gayle Forman,",181,“Life might take you down different roads. But each of you gets to decide which one to take.”,['inspirational']
Dalai Lama XIV,181,"“To be kind, honest and have positive thoughts; to forgive those who harm us and treat everyone as a friend; to help those who are suffering and never to consider ourselves superior to anyone else: even if this advice seems rather simplistic, make the effort of seeing whether by following it you can find greater happiness.”",['inspirational']
Joyce Meyer,173,“Is there any real purpose in being alive if all we are going to do is get up every day and live only for ourselves?Live your life to help others. Give & live selflessly.”,['inspirational']
"Thich Nhat Hanh,",170,"“Peace is present right here and now, in ourselves and in everything we do and see. Every breath we take, every step we take, can be filled with peace, joy, and serenity. The question is whether or not we are in touch with it. We need only to be awake, alive in the present moment.”","['inspirational', 'peace', 'religion', 'serenity']"
Omar Khayyâm,160,"“Dead yesterdays and unborn tomorrows, why fret about it, if today be sweet.”",['inspirational']
Jean-Paul Sartre,152,"“There is only one day left, always starting over: It is given to us at dawn and taken away from us at dusk.”","['carpe-diem', 'inspirational']"
"Steve Maraboli,",152,“You are beautiful. Know this. Anyone who tells you otherwise is simply lying. You are beautiful.”,"['beauty', 'inspirational', 'lies', 'self-love']"
Joan of Arc,150,“I am not afraid... I was born to do this.”,['inspirational']
"Oscar Wilde,",147,"“The ugly and stupid have the best of it in this world. They can sit at their ease and gape at the play. If they know nothing of victory, they are at least spared the knowledge of defeat. They live as we all should live-- undisturbed, indifferent, and without disquiet. They never bring ruin upon others, nor ever receive it from alien hands. Your rank and wealth, Henry; my brains, such as they are-- my art, whatever it may be worth; Dorian Gray's good looks-- we shall all suffer for what the gods have given us, suffer terribly.”","['brains', 'curse', 'dorian-gray', 'gods', 'good-looks', 'inspirational', 'intelligence', 'oscar-wilde', 'power', 'stupid-people', 'wealth', 'youth']"
"Walter Isaacson,",145,"“If you just sit and observe, you will see how restless your mind is. If you try to calm it, it only makes it worse, but over time it does calm, and when it does, there's room to hear more subtle things - that's when your intuition starts to blossom and you start to see things more clearly and be in the present more. Your mind just slows down, and you see a tremendous expanse in the moment. You see so much more than you could see before. It's a discipline; you have to practice it.”","['india', 'inspirational', 'meditation', 'steve-jobs', 'zen']"
Anatole France,142,"“To accomplish great things, we must dream as well as act.”","['accomplishment', 'dream', 'good-works', 'inspirational']"
C. JoyBell C.,142,"“Grace is what picks me up and lifts my wings high above and I fly! Grace always conquers! Be graceful in everything; in anger, in sadness, in joy, in kindness, in unkindness, retain grace with you!”","['flight', 'flying', 'flying-spirit', 'grace', 'graceful-attitude', 'graceful-nature', 'graceful-spirit', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'life', 'living', 'wings']"
